TRM,edson_median,hinton_median,whitecourt_median
"014214",25880.465,27663.093,25987.331
"014224",25439.703,27220.829,25539.978
"014234",24406.881,26188.098,24508.002
"014244",23891.709,25674.528,23997.195
"014254",23424.085,25207.5225,23528.9495
"014264",22868.801,24648.806,22973.479
"014274",22439.726,24217.405,22543.235
"014284",22799.73,24582.412,22903.766
"014294",23811.673,25595.951,23915.623
"014304",23446.9445,25149.814,23580.8955
"015014",,,28798.136
"015015",22940.802,24609.1265,23049.397
"015024",28795.118,,28798.19
"015025",22251.0745,23858.6015,22348.381
"015034",28786.3195,,28793.266
"015035",22459.3425,23871.959,22567.01
"015044",28788.6685,,28795.005
"015045",24063.8195,23945.1445,24170.9005
"015054",28789.265,,28795.778
"015055",23686.956,22297.287,23791.237
"015064",28789.907,,28794.934
"015065",24634.038,23250.105,24739.6395
"015074",28790.357,,28790.212
"015084",28363.216,,27880.624
"015094",27611.575,,27131.397
"015104",27329.511,,26844.605
"015114",27943.829,28791.993,27465.426
"015124",28211.279,28789.498,27781.246
"015134",26820.256,28785.197,26333.793
"015144",26781.593,28783.8495,26298.1345
"015154",26183.3225,28631.856,25700.41
"015164",26936.174,28784.962,26449.461
"015174",28027.091,28791.117,27653.3835
"015184",27385.157,28790.325,27482.9465
"015194",26163.483,27944.136,26268.566
"015204",25328.258,27112.278,25434.688
"015214",24900.749,26683.497,25000.7455
"015224",24460.434,26248.319,24566.2725
"015234",23919.143,25702.8315,24021.6375
"015244",23549.054,25331.538,23652.723
"015254",23217.6605,25000.355,23319.469
"015264",22758.189,24542.3795,22862.58
"015274",22149.272,23933.7805,22254.6605
"015284",22120.135,23903.211,22221.1985
"015294",22387.532,24165.015,22493.606
"015304",22362.1415,24154.576,22471.845
"016014",28783.54,,28635.2565
"016015",22462.226,24114.698,22567.602
"016024",28780.566,,28791.761
"016025",21654.385,23270.252,21758.773
"016034",28783.676,,28793.817
"016035",22535.325,24072.833,22635.9735
"016044",28790.509,,28794.607
"016045",23527.598,24344.064,23632.411
"016054",28790.509,,28793.9205
"016055",22890.256,21558.415,22996.788
"016064",28787.887,,28793.2045
"016065",23404.288,22004.3035,23513.7605
"016074",28783.868,,28792.203
"016075",23073.7395,21642.653,23184.4605
"016084",28785.6425,,28434.7805
"016094",28125.62,,27580.0045
"016104",27318.799,28792.66,26838.185
"016114",26777.735,28792.628,26297.172
"016124",27230.204,28790.1105,26748.218
"016134",26235.464,28664.231,25751.258
"016144",26420.417,28737.1345,25937.857
"016154",25766.248,28219.103,25284.332
"016164",26339.772,28747.565,25858.854
"016174",27191.416,28793.479,26716.694
"016184",26937.126,28691.6895,26849.264
"016194",25983.31,27768.356,26088.349
"016204",25046.35,26827.7705,25150.2895
"016214",24539.423,26323.625,24645.3785
"016224",24286.635,26069.954,24387.6575
"016234",23854.361,25636.724,23960.229
"016244",23237.818,25026.898,23346.6055
"016254",22817.016,24599.2545,22922.848
"016264",22416.596,24200.528,22521.2255
"016274",22060.365,23841.692,22165.868
"016284",21488.977,23270.932,21595.665
"016294",21956.28,23730.453,22061.937
"016304",22427.258,24209.199,22523.251
"017014",28761.112,,28237.499
"017015",21997.721,23748.058,22101.681
