TRM,edson_median,hinton_median,whitecourt_median
"012234",26560.728,28448.125,26670.3185
"012244",26100.69,27985.2575,26207.273
"012254",25598.966,27484.965,25706.807
"012264",25051.0575,26938.7215,25160.567
"012274",24741.957,26628.407,24851.439
"012284",25518.572,27404.8515,25626.93
"012294",26000.467,27785.6235,26108.334
"012304",25884.716,27582.419,25995.512
"013014",33703.64,36271.423,33179.4055
"013015",26208.5145,27909.6805,26320.914
"013024",33166.985,35733.022,32640.5705
"013025",24516.0375,26216.687,24628.419
"013034",32397.471,34959.687,31869.135
"013035",25202.312,26038.034,25311.513
"013044",31871.926,34436.002,31345.242
"013045",25866.072,25524.1985,25973.401
"013054",31942.3305,34504.877,31412.647
"013055",28349.3285,27033.227,28458.1855
"013064",30496.65,33059.08,29967.9725
"013065",27875.209,26869.635,27984.172
"013074",30401.387,32965.3045,29875.176
"013084",30857.536,33422.68,30331.388
"013094",30962.0195,33526.3665,30433.948
"013104",31188.322,33751.8315,30659.95
"013114",30898.969,33463.073,30371.8125
"013124",30104.22,32667.1,29576.0065
"013134",29802.543,32365.979,29274.7
"013144",29606.452,32168.314,29076.013
"013154",29106.543,31670.267,28578.224
"013164",28692.07,31256.195,28165.676
"013174",29347.693,31679.869,28821.322
"013184",29392.161,31276.8395,29418.4635
"013194",28612.831,30502.439,28724.6865
"013204",28218.3525,30103.77,28325.786
"013214",27629.717,29516.511,27739.485
"013224",27208.2475,29093.138,27316.275
"013234",26230.968,28118.626,26341.1835
"013244",26392.9805,28280.354,26502.77
"013254",25683.672,27571.832,25794.875
"013264",25124.398,27010.565,25232.287
"013274",24400.201,26286.629,24508.277
"013284",25024.363,26909.563,25132.1255
"013294",26120.473,27986.574,26228.329
"013304",26886.9865,28623.7885,26995.967
"014014",33743.06,37046.7825,33065.284
"014015",24376.51,26090.716,24486.275
"014024",32962.136,36171.7115,32291.002
"014025",23906.4245,25605.319,24017.075
"014034",32355.295,35159.758,31718.7985
"014035",24579.4035,25714.509,24688.16
"014044",32550.38,35112.4975,32022.377
"014045",24910.307,24658.281,25018.0675
"014054",32164.758,34726.6595,31635.4505
"014055",26180.879,24800.573,26288.274
"014064",31248.006,33811.411,30720.762
"014065",27004.897,25695.588,27116.093
"014074",30569.251,33135.752,30044.391
"014084",29745.003,32307.803,29217.624
"014094",29692.136,32256.801,29165.783
"014104",30369.555,32934.082,29842.7875
"014114",30972.626,33537.897,30447.217
"014124",30759.182,33322.77,30231.313
"014134",29065.7345,31629.69,28537.601
"014144",29380.5955,31941.135,28850.735
"014154",28789.7235,31356.373,28265.714
"014164",28332.4365,30897.382,27804.834
"014174",28919.799,31122.004,28417.8825
"014184",28755.639,30644.2875,28791.071
"014194",28150.098,30037.229,28260.699
"014204",27701.7135,29586.617,27809.019
"014214",27567.5575,29452.598,27676.056
"014224",27083.0515,28971.789,27193.8185
"014234",25981.4625,27867.8235,26091.296
"014244",25486.836,27373.214,25596.067
"014254",25015.709,26902.943,25125.093
"014264",24390.36,26278.676,24501.0475
"014274",23897.692,25785.7365,24007.4625
"014284",24308.642,26194.7375,24418.1765
"014294",25409.278,27290.094,25518.2215
"014304",24978.667,26755.87,25081.1375
"015014",32506.234,36050.733,31831.8
"015015",24388.647,26133.543,24501.9465
"015024",31802.729,35335.5675,31127.462
"015025",23595.2245,25295.7955,23704.894
"015034",32556.647,36032.3265,31880.987
"015035",23812.528,25287.876,23922.7175
"015044",33610.674,36266.631,33015.469
"015045",25531.024,25387.746,25639.255
"015054",33807.351,36375.455,33285.427
"015055",25128.062,23632.184,25236.8345
"015064",32325.309,34887.727,31796.205
"015065",26163.131,24662.8885,26272.108
"015074",31373.835,33942.1865,30851.345
"015084",30114.522,32677.695,29586.8975
"015094",29310.576,31875.36,28782.067
"015104",28995.284,31564.529,28471.3165
"015114",29670.584,32233.366,29141.2315
"015124",30121.0385,32688.079,29595.328
"015134",28580.077,31147.2895,28056.162
"015144",28497.179,31062.035,27971.192
"015154",27787.668,30350.66,27259.2845
"015164",28595.751,31154.464,28062.856
"015174",29909.688,32105.249,29405.37
"015184",29392.973,31281.051,29447.125
"015194",28053.214,29941.507,28163.684
"015204",27127.2605,29014.3065,27236.84
"015214",26618.35,28504.585,26726.9655
"015224",26104.6715,27989.3165,26211.745
"015234",25479.178,27365.0305,25587.0995
"015244",25120.36,27005.957,25228.067
"015254",24821.301,26707.4645,24930.019
"015264",24245.5595,26132.4645,24354.782
"015274",23579.905,25465.635,23688.4525
"015284",23581.237,25468.4475,23690.908
"015294",23894.735,25780.952,24005.3065
"015304",23890.7555,25764.104,23988.974
"016014",31391.044,34936.227,30719.4345
"016015",23845.481,25550.5655,23953.025
"016024",31677.039,35222.795,31004.278
"016025",22962.7905,24660.54,23070.371
"016034",33208.815,36750.7695,32531.526
"016035",23923.378,25544.472,24031.1905
"016044",34673.282,37635.264,34011.711
"016045",24992.274,25833.2005,25100.014
"016054",34625.941,37193.528,34097.866
"016055",24281.2755,22856.661,24397.116
"016064",33424.523,35987.807,32896.4115
"016065",24860.816,23322.188,24960.704
"016074",32240.934,34806.081,31709.301
"016075",24521.163,22994.978,24632.792
"016084",30888.4695,33456.2525,30345.587
"016094",29946.088,32510.851,29417.791
"016104",28998.0595,31560.959,28469.019
"016114",28411.4585,30979.622,27889.388
"016124",28925.916,31480.309,28391.961
"016134",27914.788,30480.062,27386.623
"016144",28112.535,30674.475,27582.797
"016154",27348.5275,29911.332,26820.238
"016164",27977.778,30546.153,27452.767
"016174",28970.004,31466.626,28444.72
"016184",28898.425,30843.5835,28714.395
"016194",27881.021,29767.467,27988.952
"016204",26854.331,28740.73,26963.193
"016214",26265.457,28150.244,26373.574
"016224",25949.937,27834.238,26057.636
"016234",25430.757,27315.6,25538.913
"016244",24750.675,26635.6495,24858.429
"016254",24413.9695,26301.0315,24523.875
"016264",23949.697,25836.5135,24059.2625
"016274",23524.4595,25408.9855,23631.7655
"016284",22885.335,24771.3525,22993.297
"016294",23409.457,25293.636,23515.152
"016304",23924.7335,25745.922,24041.4335
"017014",30718.4055,34262.3545,30044.57
"017015",23498.767,25330.3915,23611.6355
"017024",31870.916,35417.754,31197.414
"017025",22571.419,24269.397,22680.402
"017034",33411.0975,36956.024,32737.184
"017035",23527.4925,24532.848,23634.573
"017044",36080.772,38888.57,35387.96
"017045",24778.8635,23525.0125,24888.169
"017054",35090.1735,38012.2605,34475.654
"017055",24784.618,23541.5195,24893.517
"017064",34027.5075,36853.539,33400.908
"017065",23717.734,22232.435,23832.112
"017074",32555.554,35502.515,31885.416
"017075",23650.6195,22115.058,23750.9705
