TRM,FMU,Ecozone,sp,vol,stems,residue,r2,res
"43265",,"14",Se,"239.5352559","861.637611","55.10275919","55.10275919",
"55146",,"14",Fa,"221.6660418","797.3598627","55.05753904","55.05753904",
"44235",E13,"14",Se,"237.9993587","856.112801","54.74944096","54.74944096",
"44235",,"14",Se,"237.9993587","856.112801","54.74944096","54.74944096",
"45225",E13,"14",Se,"237.9744356","856.0231495","54.74370764","54.74370764",
"57265",E14,"9",Pl,"305.4481886","1527.240943","54.66453507","54.66453507",
"44255",,"14",Se,"237.5925527","854.6494703","54.6558592","54.6558592",
"52076",,"14",Fa,"219.9517573","791.1933714","54.63174406","54.63174406",
"46255",E13,"14",Fa,"219.6297818","790.0351863","54.55177161","54.55177161",
"46255",,"14",Fa,"219.6297818","790.0351863","54.55177161","54.55177161",
"58205",E14,"9",Sb,"238.2757903","1191.378951","54.54490253","54.54490253",
"54066",,"14",Fa,"219.5015299","789.5738484","54.51991632","54.51991632",
"43245",,"14",Se,"236.4439352","850.5177525","54.3916309","54.3916309",
"55245",E14,"9",Pl,"303.7016469","1518.508235","54.35196525","54.35196525",
"49265",E14,"9",Pl,"303.3716396","1516.858198","54.29290548","54.29290548",
"53066",,"14",Fa,"218.3725496","785.5127683","54.23949955","54.23949955",
"54235",E14,"9",Pl,"302.8557598","1514.278799","54.20058106","54.20058106",
"47205",E14,"9",Pl,"302.0872486","1510.436243","54.06304444","54.06304444",
"40235",,"14",Se,"234.8010289","844.6080176","54.01369625","54.01369625",
"30155",,"14",Se,"234.6748636","844.1541855","53.98467315","53.98467315",
"56016",E14,"9",Pl,"301.4565385","1507.282692","53.95016941","53.95016941",
"29155",,"14",Se,"234.2629463","842.6724687","53.88991558","53.88991558",
"10294",C5,"10",Sw,"357.85954","1287.264532","53.88334861","53.88334861",
"10294",C5,"14",Sw,"357.85954","1287.264532","53.88334861","53.88334861",
"10294",CO2,"10",Sw,"357.85954","1287.264532","53.88334861","53.88334861",
"10294",CO2,"14",Sw,"357.85954","1287.264532","53.88334861","53.88334861",
"66115",S20,"9",Sb,"312.9666906","1125.779462","53.81225831","53.81225831",
"38205",R11,"14",Se,"233.6220258","840.3669992","53.74247804","53.74247804",
"38205",,"14",Se,"233.6220258","840.3669992","53.74247804","53.74247804",
"57185",E14,"9",Pl,"299.4670478","1497.335239","53.59412021","53.59412021",
"24145",,"14",Se,"232.7477009","837.2219457","53.54134809","53.54134809",
"48235",E14,"9",Pl,"298.6665206","1493.332603","53.45085386","53.45085386",
"55026",E14,"14",Pl,"331.4484059","1657.242029","53.43114027","53.43114027",
"58106",G16,"14",Fa,"226.8576244","540.1372009","53.19206338","53.19206338",
"53046",,"14",Fa,"213.7590611","768.9174861","53.09359863","53.09359863",
"54285",E14,"9",Pl,"296.2061461","1481.030731","53.01053294","53.01053294",
"54215",E14,"9",Sb,"231.0637054","1155.318527","52.89394813","52.89394813",
"51225",E14,"9",Pl,"295.4273996","1477.136998","52.87116457","52.87116457",
"54036",E14,"9",Pl,"295.3186959","1476.593479","52.85171041","52.85171041",
"53056",,"14",Fa,"212.6531012","764.939213","52.81889967","52.81889967",
"54245",E14,"9",Pl,"294.8352233","1474.176117","52.76518574","52.76518574",
"58265",E14,"9",Pl,"294.8268822","1474.134411","52.76369298","52.76369298",
"69125",S20,"9",Sb,"306.6461131","1103.043572","52.72548276","52.72548276",
"48215",E14,"9",Pl,"294.5976748","1472.988374","52.72267287","52.72267287",
"50205",E14,"9",Sb,"229.8924721","1149.462361","52.62583526","52.62583526",
"52056",,"14",Fa,"211.7793831","761.796342","52.60188505","52.60188505",
"49235",E14,"9",Pl,"293.9116576","1469.558288","52.59989981","52.59989981",
"33205",,"14",Pl,"497.5950053","1789.910091","52.50880243","52.50880243",
"33205",,"14",Pl,"497.5950053","1789.910091","52.50880243","52.50880243",
"53146",,"14",Fa,"211.2421789","759.8639528","52.46845397","52.46845397",
"46245",E13,"14",Fa,"210.8930143","758.6079651","52.38172827","52.38172827",
"46245",,"14",Fa,"210.8930143","758.6079651","52.38172827","52.38172827",
"53285",E14,"9",Pl,"292.4497865","1462.248933","52.33827605","52.33827605",
"52285",E14,"9",Pl,"292.0273711","1460.136856","52.26267847","52.26267847",
"52066",,"14",Fa,"209.9719567","755.2948083","52.15295545","52.15295545",
"40195",R11,"14",Se,"225.5348899","811.2765823","51.88211097","51.88211097",
"55235",E14,"9",Pl,"289.8768896","1449.384448","51.87781755","51.87781755",
"55016",E14,"9",Pl,"289.5091024","1447.545512","51.81199651","51.81199651",
"7045",C5,"14",Pl,"490.9414462","1765.976425","51.80668441","51.80668441",
"7045",C5,"14",Pl,"490.9414462","1765.976425","51.80668441","51.80668441",
"7045",CO1,"14",Pl,"490.9414462","1765.976425","51.80668441","51.80668441",
"7045",CO1,"14",Pl,"490.9414462","1765.976425","51.80668441","51.80668441",
"7045",CO2,"14",Pl,"490.9414462","1765.976425","51.80668441","51.80668441",
"7045",CO2,"14",Pl,"490.9414462","1765.976425","51.80668441","51.80668441",
"55036",E14,"9",Pl,"289.4727237","1447.363618","51.80548599","51.80548599",
"56026",E14,"14",Pl,"321.1153605","1605.576803","51.76540169","51.76540169",
"49225",E14,"9",Pl,"289.1538933","1445.769467","51.74842652","51.74842652",
"52205",E14,"9",Sb,"225.4672036","1127.336018","51.61282491","51.61282491",
"50275",E14,"9",Pl,"288.0210505","1440.105253","51.54568731","51.54568731",
"30135",,"14",Se,"223.5505353","804.138616","51.42562946","51.42562946",
"40205",R11,"14",Se,"223.0650826","802.3923835","51.3139558","51.3139558",
"40205",,"14",Se,"223.0650826","802.3923835","51.3139558","51.3139558",
"56275",E14,"9",Pl,"286.2008302","1431.004151","51.21993159","51.21993159",
"39195",R11,"14",Se,"222.2060516","799.3023437","51.11634404","51.11634404",
"41245",,"14",Se,"221.6099309","797.1580248","50.97921227","50.97921227",
"30125",R11,"14",Se,"221.6025413","797.1314435","50.97751237","50.97751237",
"30125",,"14",Se,"221.6025413","797.1314435","50.97751237","50.97751237",
"38225",,"14",Se,"221.5675551","797.0055938","50.96946413","50.96946413",
"9294",C5,"10",Sw,"338.3867537","1217.218538","50.95130736","50.95130736",
"9294",C5,"14",Sw,"338.3867537","1217.218538","50.95130736","50.95130736",
"9294",CO2,"10",Sw,"338.3867537","1217.218538","50.95130736","50.95130736",
"9294",CO2,"14",Sw,"338.3867537","1217.218538","50.95130736","50.95130736",
"57255",E14,"9",Pl,"284.67372","1423.3686","50.9466323","50.9466323",
"59116",,"14",Sw,"338.1573235","1216.39325","50.91676177","50.91676177",
"28115",B11,"14",Se,"221.3128412","796.089357","50.91086969","50.91086969",
"28115",,"14",Se,"221.3128412","796.089357","50.91086969","50.91086969",
"8034",,"10",Sw,"338.1112102","1216.227375","50.90981844","50.90981844",
"33125",R11,"14",Se,"220.9833826","794.9042538","50.83508092","50.83508092",
"33155",R11,"14",Se,"219.866619","790.8871186","50.5781803","50.5781803",
"33155",,"14",Se,"219.866619","790.8871186","50.5781803","50.5781803",
"51195",E14,"9",Sb,"220.5383799","1102.6919","50.48454324","50.48454324",
"32165",,"14",Se,"219.2594502","788.7030583","50.43850702","50.43850702",
"45185",E14,"9",Pl,"281.4901591","1407.450795","50.37688632","50.37688632",
"57195",E14,"9",Pl,"281.2900983","1406.450492","50.34108245","50.34108245",
"29135",,"14",Se,"218.4416659","785.7613881","50.25038368","50.25038368",
"28105",B11,"14",Se,"218.3977049","785.6032552","50.24027089","50.24027089",
"28105",,"14",Se,"218.3977049","785.6032552","50.24027089","50.24027089",
"49205",E14,"9",Pl,"280.4652948","1402.326474","50.19347148","50.19347148",
"50185",E14,"9",Sb,"218.8139771","1094.069885","50.08980156","50.08980156",
"69075",S20,"9",Sb,"291.2713414","1047.738638","50.0819069","50.0819069",
"53275",E14,"9",Pl,"279.6821254","1398.410627","50.05331157","50.05331157",
"40285",,"14",Fa,"201.4231232","724.5436087","50.02959127","50.02959127",
